id,plate,startts,endts,startlng,startlat,my_id
XPY72J5ERRJSZ,632091,7/26/18 13:55,7/26/18 14:00,-77.003172,38.952258,6674
2DC7234HOXFSX,317653,7/26/18 14:00,7/26/18 14:05,-77.014346,38.88987,6675
65N7XMUXMEE4R,421448,7/26/18 14:45,7/26/18 14:50,-76.991875,38.883203,6676
TM2M53VUQDTO5,749220,7/26/18 15:00,7/26/18 15:05,-77.009252,38.874565,6677
AA4BD2IP3IFO7,797786,7/26/18 15:35,7/26/18 15:40,-77.025075,38.88929,6678
ATMEZ7OENVLOU,529353,7/26/18 15:35,7/26/18 15:40,-76.995957,38.879222,6679
SK2FWGSCL26SV,882721,7/26/18 15:35,7/26/18 15:40,-77.02196,38.90632,6680
UGRHSOO3WYBBC,333873,7/26/18 15:35,7/26/18 15:40,-77.044797,38.90115,6681
SACC4443UH6T6,216742,7/26/18 15:55,7/26/18 16:00,-77.020168,38.909518,6682
PBUUUC3MMO7I6,379622,7/26/18 15:55,7/26/18 16:00,-77.041763,38.915787,6683
QGCMXW7P5Z5D3,827333,7/26/18 15:55,7/26/18 16:00,-77.037995,38.901411,6684
JVE35DSKKGZDS,622533,7/26/18 18:00,7/26/18 18:05,-77.003389,38.908151,6685
TOGYY4XWWLIYB,427850,7/26/18 18:00,7/26/18 18:05,-76.999254,38.888721,6686
ZDEGESBJBDO3R,988502,7/26/18 18:00,7/26/18 18:05,-77.066303,38.906665,6687
O7UVVO24RK7LU,637241,7/26/18 18:00,7/26/18 18:05,-77.031592,38.9277,6688
XPY72J5ERRJSZ,632091,7/26/18 18:00,7/26/18 18:05,-77.031778,38.927686,6689
LZHXO5LX2H2TO,820027,7/26/18 18:00,7/26/18 18:05,-77.032141,38.919519,6690
JND37EUSZN6RZ,222416,7/26/18 18:05,7/26/18 18:10,-77.043567,38.892407,6691
6ZCBHSEQTKEPA,533321,7/26/18 18:05,7/26/18 18:10,-77.048953,38.899663,6692
S33JBQ4F3NWLU,279565,7/26/18 18:05,7/26/18 18:10,-77.013045,38.879108,6693
2LL5UCQ7LYDN4,333135,7/26/18 18:25,7/26/18 18:30,-77.04797,38.904957,6694
WQ2PFGU2RANOG,217482,7/26/18 19:35,7/26/18 19:40,-77.035468,38.920504,6695
G6RRXHPQ5IDCT,928828,7/26/18 20:25,7/26/18 20:30,-77.02175,38.899167,6696
LZHXO5LX2H2TO,820027,7/26/18 20:25,7/26/18 20:30,-77.040041,38.923212,6697
5EFM2QUBWLAQQ,798620,7/26/18 21:00,7/26/18 21:05,-76.992264,38.912606,6698
CWSVF2MNIVZOB,919397,7/26/18 7:25,7/26/18 7:30,-77.026248,38.916937,26205
WONCD7LJLFDPA,184635,7/26/18 14:55,7/26/18 15:00,-77.035896,38.899139,26206
CQGSQUC4ICOWT,969618,7/26/18 15:00,7/26/18 15:05,-77.020027,38.893147,26207
CWSVF2MNIVZOB,919397,7/26/18 7:35,7/26/18 7:40,-77.029662,38.906484,27659
CWSVF2MNIVZOB,919397,7/26/18 9:35,7/26/18 9:40,-77.029604,38.898318,27660
TVER3TOB55AV7,517617,7/26/18 8:20,7/26/18 8:25,-77.032644,38.928423,27959
XXJT4GICNCUR6,325943,7/26/18 13:50,7/26/18 13:55,-77.026105,38.884254,29373
XXJT4GICNCUR6,325943,7/26/18 13:55,7/26/18 14:00,-77.030482,38.888539,29374
SK2FWGSCL26SV,882721,7/26/18 13:55,7/26/18 14:00,-77.04434,38.91088,29713
SK2FWGSCL26SV,882721,7/26/18 14:05,7/26/18 14:10,-77.065788,38.908786,29714
SK2FWGSCL26SV,882721,7/26/18 14:10,7/26/18 14:15,-77.069152,38.915609,29715
LMBJ4QYQQ5R5B,852128,7/26/18 13:20,7/26/18 13:25,-77.05817,38.902402,29902
LMBJ4QYQQ5R5B,852128,7/26/18 13:25,7/26/18 13:30,-77.04569,38.894628,29903
LMBJ4QYQQ5R5B,852128,7/26/18 13:45,7/26/18 13:50,-77.035089,38.899055,29904
LMBJ4QYQQ5R5B,852128,7/26/18 14:40,7/26/18 14:45,-77.037134,38.90269,29905
WEJXOWHHB7X7M,279397,7/26/18 10:45,7/26/18 10:50,-77.023321,38.954196,29938
BQ7RU7QQ2O2MZ,363018,7/26/18 12:45,7/26/18 12:50,-77.004527,38.892017,30474
OFKJACS5FBNX3,115552,7/26/18 19:45,7/26/18 19:50,-76.989927,38.90274,30592
OFKJACS5FBNX3,115552,7/26/18 19:55,7/26/18 20:00,-76.984398,38.900449,30593
OFKJACS5FBNX3,115552,7/26/18 20:25,7/26/18 20:30,-77.041265,38.911806,30594
2FS7YZZBVGNQI,442793,7/26/18 14:30,7/26/18 14:35,-77.024047,38.890435,30727
CQD667F7AB3RJ,683596,7/26/18 8:20,7/26/18 8:25,-77.002885,38.908938,30785
CQD667F7AB3RJ,683596,7/26/18 10:15,7/26/18 10:20,-77.030828,38.903708,30786
