id,plate,startts,endts,endlng,endlat,my_id
LMBJ4QYQQ5R5B,852128,7/26/18 14:40,7/26/18 14:45,-77.034701,38.902452,29905
WEJXOWHHB7X7M,279397,7/26/18 10:45,7/26/18 10:50,-77.024353,38.954387,29938
BQ7RU7QQ2O2MZ,363018,7/26/18 12:45,7/26/18 12:50,-77.00576,38.89662,30474
OFKJACS5FBNX3,115552,7/26/18 19:45,7/26/18 19:50,-76.978354,38.904967,30592
OFKJACS5FBNX3,115552,7/26/18 19:55,7/26/18 20:00,-77.00233,38.900281,30593
OFKJACS5FBNX3,115552,7/26/18 20:25,7/26/18 20:30,-77.044472,38.911982,30594
2FS7YZZBVGNQI,442793,7/26/18 14:30,7/26/18 14:35,-77.032807,38.890156,30727
CQD667F7AB3RJ,683596,7/26/18 8:20,7/26/18 8:25,-77.008628,38.907497,30785
CQD667F7AB3RJ,683596,7/26/18 10:15,7/26/18 10:20,-77.028048,38.901466,30786
UCNFLW275VPLP,456548,7/26/18 8:50,7/26/18 8:55,-77.043839,38.90154,31633
UCNFLW275VPLP,456548,7/26/18 8:55,7/26/18 9:00,-77.044626,38.908458,31634
CMLYHIP5ENRRI,685452,7/26/18 19:30,7/26/18 19:35,-77.035564,38.920515,32049
SHH6WDDPPCMEY,727821,7/26/18 8:40,7/26/18 8:45,-77.042765,38.908276,32751
SHH6WDDPPCMEY,727821,7/26/18 12:45,7/26/18 12:50,-77.03899,38.905619,32752
SHH6WDDPPCMEY,727821,7/26/18 14:30,7/26/18 14:35,-77.035153,38.900482,32753
SHH6WDDPPCMEY,727821,7/26/18 16:05,7/26/18 16:10,-77.020291,38.900209,32754
SHH6WDDPPCMEY,727821,7/26/18 16:20,7/26/18 16:25,-77.012163,38.908485,32755
SHH6WDDPPCMEY,727821,7/26/18 17:25,7/26/18 17:30,-76.967265,38.87293,32756
PK2OOI4K6CO67,218813,7/26/18 18:10,7/26/18 18:15,-77.044608,38.892347,34466
TM2M53VUQDTO5,749220,7/26/18 8:25,7/26/18 8:30,-77.026317,38.90266,35462
TM2M53VUQDTO5,749220,7/26/18 15:40,7/26/18 15:45,-76.997257,38.885345,35463
XTVQY6RDEIF2Q,679300,7/26/18 8:20,7/26/18 8:25,-77.068981,38.906986,35836
EDYEGRFKMGYWH,637299,7/26/18 8:10,7/26/18 8:15,-77.000597,38.917464,37241
EDYEGRFKMGYWH,637299,7/26/18 8:15,7/26/18 8:20,-77.003879,38.908617,37242
EDYEGRFKMGYWH,637299,7/26/18 8:20,7/26/18 8:25,-77.005935,38.902117,37243
EDYEGRFKMGYWH,637299,7/26/18 8:50,7/26/18 8:55,-77.007986,38.896854,37244
EDYEGRFKMGYWH,637299,7/26/18 9:20,7/26/18 9:25,-77.023353,38.894089,37245
EDYEGRFKMGYWH,637299,7/26/18 9:50,7/26/18 9:55,-77.024225,38.894033,37246
EDYEGRFKMGYWH,637299,7/26/18 10:05,7/26/18 10:10,-77.020787,38.876393,37247
EDYEGRFKMGYWH,637299,7/26/18 10:10,7/26/18 10:15,-77.022208,38.876714,37248
EDYEGRFKMGYWH,637299,7/26/18 11:00,7/26/18 11:05,-77.01848,38.87632,37249
