date,time
2018-11-08,13:29:18.5
2018-11-08,13:36:34
2018-11-08,13:41:19
2018-11-08,13:55:49
2018-11-08,13:56:19
2018-11-08,14:04:18.5
2018-11-08,14:09:48
2018-11-08,failuntil14:43:19.5
2018-11-08,14h51
2018-11-08,15:00:49
2018-11-08,15h09
2018-11-08,15:19:19
2018-11-08,15:27:48.5
2018-11-08,15:40:18.5
2018-11-08,15:45:19.5
2018-11-08,15:48:49
2018-11-08,16:00:18.5
2018-11-08,16:03:19
2018-11-08,16:08:48.5
2018-11-08,16:18:19
2018-11-08,16:21:19
2018-11-08,16:29:19
2018-11-08,16:43:19
2018-11-08,16:56:19
2018-11-08,17:10:19
2018-11-08,17h12
2018-11-08,17:25:20.5
2018-11-08,17:34:19
2018-11-08,17:36:19
2018-11-08,17:47:18.5
2018-11-08,17:55:18.5
2018-11-08,18:05:19
2018-11-08,18:12:19
2018-11-08,18:25:18.5
2018-11-08,18:33:18.5
2018-11-08,18:40:19
2018-11-08,18:46:18.5
2018-11-08,18:56:19
2018-11-08,19:09:18
2018-11-08,19:12:18.5
2018-11-08,19:16:19
2018-11-08,19h24
2018-11-08,19:35:18
2018-11-08,19:47:18
2018-11-08,19:55:18
2018-11-08,20:09:18.5
2018-11-08,20:14:18
2018-11-08,20:25:18.5
2018-11-08,20:32:18
2018-11-08,20:41:18.5
2018-11-08,20:51:18
2018-11-08,20:54:18
2018-11-09,06:20:18.5
2018-11-09,06:30:18.5
2018-11-09,06:40:18
2018-11-09,06:52:18.5
2018-11-09,07:00:48
2018-11-09,07:11:18
2018-11-09,07h15
2018-11-09,07:22:18
2018-11-09,07:28:18.5
2018-11-09,07:31:18
2018-11-09,07:36:18
2018-11-09,07:43:18
2018-11-09,07:48:18
2018-11-09,07:54:18.5
2018-11-09,07:58:18.5
2018-11-09,08:02:18
2018-11-09,08:06:18
2018-11-09,08:11:18
2018-11-09,08:15:18
2018-11-09,08:19:18
2018-11-09,08:22:19
2018-11-09,08:23:48.5
2018-11-09,08:26:18
2018-11-09,08:29:18.5
2018-11-09,08:31:18.5
2018-11-09,08:33:18
2018-11-09,08:36:18
2018-11-09,08:41:18
2018-11-09,08:46:18
2018-11-09,08h51
2018-11-09,08:56:19
2018-11-09,08:59:18
2018-11-09,09:01:19
2018-11-09,09:05:18
2018-11-09,09h08
2018-11-09,09:14:19
2018-11-09,09:19:18.5
2018-11-09,09h23
2018-11-09,09:29:18.5
2018-11-09,09:34:18
2018-11-09,09:41:18
2018-11-09,09:44:18
2018-11-09,09:49:18
2018-11-09,09:54:18
2018-11-09,09:59:18
2018-11-09,10:04:19
2018-11-09,10:09:18
2018-11-09,10:14:18.5
2018-11-09,10:20:18
2018-11-09,10:25:18
2018-11-09,10:32:48
2018-11-09,10h38
2018-11-09,10:45:18
2018-11-09,10h51
2018-11-09,11:01:48.5
2018-11-09,11:05:18.5
2018-11-09,11:13:18.5
2018-11-09,11:26:18
2018-11-09,11:26:48
2018-11-09,11:29:18
2018-11-09,11:36:18.5
2018-11-09,11:44:18.5
2018-11-09,11:51:18
2018-11-09,11:57:18.5
2018-11-09,11:58:48
2018-11-09,12:06:48
2018-11-09,12:15:18
2018-11-09,12:23:18
2018-11-09,12:23:18
2018-11-09,12h30
2018-11-09,12:41:18.5
2018-11-09,12:44:18
2018-11-09,12h51
2018-11-09,13:02:18
2018-11-09,13:09:18.5
2018-11-09,13:23:19
2018-11-09,13:27:18
2018-11-09,13:28:18
2018-11-09,13:41:18.5
2018-11-09,13:49:48.5
2018-11-09,13:54:18.5
2018-11-09,14:06:18
2018-11-09,14:11:18.5
2018-11-09,14:17:48.5
2018-11-09,14:27:18
2018-11-09,14:28:18
2018-11-09,14h34
2018-11-09,14:46:18
2018-11-09,14h51
2018-11-09,15:01:18.5
2018-11-09,15:11:18
2018-11-09,15:19:18
2018-11-09,15:28:18
2018-11-09,15:38:18
2018-11-09,15:44:18
2018-11-09,15:52:18
2018-11-09,15:54:18.5
2018-11-09,16:07:48
2018-11-09,16:16:18.5
2018-11-09,16:16:48.5
2018-11-09,16:34:18.5
2018-11-09,16h42
2018-11-09,16h52
2018-11-09,17:02:48
2018-11-09,17h12
2018-11-09,17:34:18
2018-11-09,17:37:19
2018-11-09,17:44:18
2018-11-09,17:52:48
